id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner
1,"Once upon a time in the future the old men will say about today.  It was a tortured state, mourning 57 dead and God knows how many traumatized souls.  How many crippled bodies.  Many are the sufferings of the land.  Electricity being brought to its knees to the people due to the devaluation of breaking and privatization of public electricity infrastructure.  The new austerity, precision for the many with evictions and auctions with super profits for the supermarkets, because of the new austerity of precision with super profits for the bankers who despite their super profits.  They demand, in order to prevent their banks from sinking, a continuous life preserver from the state, from a state that at the same time is sinking in debt.  Tightly embraced by a private sector that together public and private we have 8 and a half percent of GDP current account deficit.  In other words we are within every year time nation, eight and a half percent of GDP. ","Μια φορά κι ένα καιρό θα λένε στο μέλλον οι παλιοί για τη σημερινή μέρα  Ήταν μια βασανισμένη πολιτεία, βουτηγμένη στο πένθος με 57 νεκρούς και ένας Θεός ξέρει πόσες τραυματισμένες ψυχές  Πόσα σακατεμένα κορμιά  Πολλά τα δεινά του τόπου  Το ηλεκτρικό ρεύμα να έχει γονατίσει στους ανθρώπους λόγω της απαξίωσης του σπασίματος και της ιδιωτικοποίησης των δημόσιων υποδομών ηλεκτρικής ενέργειας  Τη νέα λιτότητα, την ακρίβεια για τους πολλούς με εξώσεις και πλειστηριασμούς με υπερκέρδη για τους σούπερ μάρκετ άδες, λόγω της νέας λιτότητας της ακρίβειας με υπερκέρδη για τους τραπεζίτες που παρά τα υπερκέρδη τους  Απαιτούν για να μη βουλιάξουν οι τράπεζες τους συνεχείς σωσίβιο από το κράτος, από ένα κράτος που την ίδια στιγμή βουλιάζει στο χρέος  Σφιχτά αγκαλιασμένο με ένα ιδιωτικό τομέα που μαζί δημόσιο και ιδιωτικό έχουμε 8 μιση τοις 100 του ΑΕΠ έλλειμμα τρεχουσών συναλλαγών  Με άλλα λόγια είμαστε μέσα κάθε χρόνο χρόνος έθνος, οκτώμισι τοις 100 του ΑΕΠ",economy,,austerity,-0.8,0.45,0.0,0.3,0.0,0.8,0.2,0.0,[]
2, In a Europe all this just decided at the Eurogroup to tighten again.  The straps of austerity that were sent here in our country.  Up to one million young children abroad. , Σε μια Ευρώπη όλα αυτά που μόλις αποφάσισε στο Eurogroup να σφίξει και πάλι  Τα λουριά της λιτότητας που εδώ στη χώρα μας έστειλαν  Μέχρι και ένα εκατομμύριο νέα παιδιά στο εξωτερικό,economy,austerity,austerity,-0.6,0.8,0.0,0.8,0.2,0.7,0.5,0.1,"[['europe', 'location', '1.0'], ['eurogroup', 'organization', '0.6'], ['country', 'location', '0.7']]"
3, A problem not only had.  This tortured state.  The water.  Our water public.  Cheap.  Net. , Ένα πρόβλημα δεν είχε μόνο  Αυτή η βασανισμένη πολιτεία  Το νερό  Το νερό μας δημόσιο  Φθηνό  Καθαρό,reference to other parties,water privatisation,water,0.0,0.0,0.0,0.2,0.9,0.5,0.0,0.0,[]
4," Without damage, with a small profit for EYDAP, EYDATH so as not to need money these anyway empty state funds, but also not to strip citizens through the water bills.  And what is our long-serving prime minister of this tortured state doing today.  It gives you ministers and you MPs and councilors of the New Democracy an order to fix the water to solve the only problem that has no country, he says.  My dear, dear, dear Prime Minister.  There is no problem with water that there is not, replies the Prime Minister.  The absence of a problem.  With the water. "," Χωρίς ζημιές, με ένα μικρό σε κέρδος για την ΕΥΔΑΠ, την ΕΥΔΑΘ ώστε να μην χρειάζεται χρήματα αυτά έτσι κι αλλιώς άδεια κρατικά ταμεία, αλλά και να μην γδύνει τους πολίτες μέσα από τους λογαριασμούς του νερού  Και τι κάνει σήμερα ο πολυχρονεμένος μας πρωθυπουργός αυτής της βασανισμένης πολιτείας  Σας δίνει εσάς τους υπουργούς και εσάς τους βουλευτές και βουλεύτριες της Νέας Δημοκρατίας εντολή φτιάξτε το νερό να λύσουμε λέει το μόνο πρόβλημα που δεν έχει χώρα  Βρε καλέ μου, βρε χρυσέ μου πρωθυπουργέ  Δεν υπάρχει πρόβλημα με το νερό πως δεν υπάρχει, απαντάει ο πρωθυπουργός  Η μη ύπαρξη προβλήματος  Με το νερό",reference to other parties,water privatisation,water,-0.5,0.1,0.0,0.1,0.3,0.2,0.0,0.0,"[['eydap', 'organization', '0.75'], ['eydath', 'organization', '0.75'], ['new democracy', 'organization', '0.75'], ['prime minister', 'person', '1.0']]"
5," It's a problem for this government that it can doodle.  Mitsotakis A E to tolerate A E, a public company, to tolerate the water to remain public without a problem.  It overturns ANYTHING in the narrative that private is always better than public.  Citizens are wondering, but didn't this narrative just collapse in Tempe?  It did not collapse with the privatization of the PPC with the energy exchange with Hercules. "," Είναι πρόβλημα για αυτή την κυβέρνηση πως μπορεί κοτζάμ  Μητσοτάκης Α Ε να ανεχθεί Α Ε, ανώνυμη εταιρεία είναι, να ανεχθεί το νερό να παραμένει δημόσιο χωρίς να υπάρχει πρόβλημα  Ανατρεπει ΚΑΤΙ Τετοιο το αφήγημα ότι το ιδιωτικό είναι πάντα καλύτερα το δημόσιο  Οι πολίτες αναρωτιούνται, μα αυτό το αφήγημα δεν κατέρρευσε μόλις τώρα στα Τέμπη  Δεν κατέρρευσε με την ιδιωτικοποίηση της ΔΕΗ με το χρηματιστήριο ενέργειας με τον Ηρακλή",,water privatisation,privatization,0.1,0.4,0.1,0.2,0.5,0.5,0.0,0.0,"[['mitsotakis', 'person', '0.89'], ['a e', 'organization', '0.78'], ['tempe', 'location', '0.6'], ['ppc', 'organization', '0.65'], ['hercules', 'organization', '0.55']]"
6," Government's response even more compelling reason to commercialize water, so it is in the difficult time seem the lads of the oligarchy.  Where all the people out there.  Young people on the streets. "," Απάντηση των κυβερνητικών ακόμα πιο επιτακτικός λόγος να εμπορευματοποιήσουμε το νερό, έτσι είναι στη δύσκολη στιγμή φαίνονται τα παλικάρια της ολιγαρχίας  Εκεί που όλος ο κόσμος εκεί έξω  Οι νέοι άνθρωποι στους δρόμους",reference to other parties,water privatisation,water commercialization,-0.5,0.85,0.5,0.6,0.7,0.9,0.5,0.1,"[['government', 'organization', '0.9']]"
7," They turn against the id Tiko mania that challenge the oligarchs.  The CEO of Mitsotakis S.A. who manages the site on behalf of the owners of this country.  It privatizes the good that no sane person even a neoliberal can be.  He sees no reason to privatise.  So it is a government of the meritocracy, it has the courage to sacrifice the few good things left standing in this place to keep alive the ideology that yields.  The dirty profits, the big ones to its shareholders. "," Στρέφονται κατά της ιδιω Τικό μανίας που αμφισβητούν τους ολιγάρχες  Ο διευθύνων σύμβουλος της Μητσοτάκης Α Ε που διαχειρίζεται τον τόπο εκ μέρους των ιδιοκτητών αυτής της χώρας  Ιδιωτικοποιεί το αγαθό που κανένας σώφρων άνθρωπος ακόμα και νεοφιλελεύθερος να είναι  Δεν βλέπει το λόγο να ιδιωτικοποιηθεί  Έτσι είναι μια κυβέρνηση των αρίστων, έχει το θάρρος να θυσιάζει τα λίγα καλά που έμεινα σε αυτό το τόπο που έμειναν όρθιες σε αυτό τον τόπο για να κρατήσει ζωντανή την ιδεοληψία που αποφέρει  Τα βρώμικα τα κέρδη, τα μεγάλα στους μετόχους της",economy,privatisations,privatization,-0.7,0.95,0.5,0.85,0.7,0.9,0.1,0.4,"[['tiko', 'organization', '0.90'], ['mitsotakis s.a.', 'organization', '0.90']]"
8," Mitsotakis S.A.  Today, ladies and gentlemen of the government.  They ask you to close your eyes.  Seal your ears, hold your nose so you don't smell the foul stench of this bill being passed.  They tell you so much work. "," Μητσοτάκης Α Ε  Σήμερα  κυρίες και κύριοι βουλευτές της κυβέρνησης  Σας ζητάνε να κλείσετε τα μάτια σας  Να σφραγίσετε τα αυτιά σας, να κρατήσετε τη μύτη σας ώστε να μην οσφρηστείτε τη δύσοσμη τη δυσοσμία αυτού του νομοσχεδίου που ψηφίζεται  Σας λένε τόση δουλειά",work,austerity,opposition to a bill,-0.5,0.8,0.0,0.35,0.8,0.9,0.2,0.1,"[['mitsotakis s.a.', 'organization', '0.90'], ['government', 'organization', '0.60']]"
9," We did to commercialize water.  We should give it to the people of the day and give them electricity, health and education, so that all this effort is wasted just because we had 57 dead in Tempe and the climate has changed.  Your efforts are truly moving.  And impressively.  Timeless. "," Κάναμε να εμπορευματοποιήσουμε το νερό  Να το δωσουμε και αυτο μετα το ρεύμα, την υγεία, την παιδεία στους ημέτερους να πάει χαμένη όλη αυτή η προσπάθεια μόνο και μόνο γιατί είχαμε 57 νεκρούς στα Τέμπη και άλλαξε το κλίμα  Οι προσπάθειές σας είναι πραγματικά συγκινητικές  Και εντυπωσιακά  Διαχρονικές",reference to other parties,water privatisation,water,0.0,0.7,0.0,0.4,0.7,0.6,0.0,0.0,"[['tempe', 'gpe', '0.6']]"
10, In July 2022.  Let's go to February 22.  The Council of State with a decision brakes the privatization by securing public control over water and demanding the return of the shares of EYDAP EYDATH.  Back to the public.  I hope that at some point you will apologize to the Treasury for the damage you have done.  You SYRIZA members who put their shares in the Yperta Fund. , Τον Ιούλιο του 2022  Πάμε στο Φεβρουάριο του 22  Το Συμβούλιο της Επικρατείας με μια απόφαση σταθμό φρενάρει μπλοκάρει την ιδιωτικοποίηση κατοχυρώνοντας το δημόσιο έλεγχο στο νερό και απαιτώντας την επιστροφή των μετοχών της ΕΥΔΑΠ ΕΥΔΑΘ  Πίσω στο δημόσιο  Από το Υπερταμείο ελπίζω εδώ κάποια στιγμή να ζητήσετε ένα συγγνώμη  Εσείς του ΣΥΡΙΖΑ που βάλατε τις μετοχές τους στο Υπερταμείο,economy,water privatisation,privatization,-0.5,0.2,0.0,0.2,0.3,0.2,0.0,0.1,"[['july', 'date', '1.0'], ['february 22', 'date', '1.0'], ['council of state', 'organization', '1.0'], ['eydap eydath', 'organization', '1.0'], ['treasury', 'organization', '1.0'], ['syriza', 'organization', '1.0'], ['yperta fund', 'organization', '1.0']]"
