id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Friends and friends.  And today, here in Serres, the message is loud and clear - Andreas Papandreou's PASOK is back.  The country's algae, not as a complement, as Mr. Tsipras, Mr. Mitsotakis wants, but as a protagonist for a new hope for a new change.  So make our power a decision of change for all Greek women and men.  What the Greek people expect from us.  After years of adventures.  The fiscal crisis, the pandemic of Targeting.  Where it all started.  Mainly in the economy with the bankruptcy that Mr. Karamanlis handed over to George Papandreou. ","Φίλες και φίλοι  Και σήμερα εδώ από τις Σέρρες το μήνυμα είναι ηχηρό και καθαρό το ΠΑΣΟΚ του Ανδρέα Παπανδρέου είναι ξανά  Άλγη της χώρας, όχι ως συμπλήρωμα, όπως θέλει ο κύριος Τσίπρας, ο κύριος Μητσοτάκης, αλλά ως πρωταγωνιστής για μια νέα ελπίδα για μια νέα αλλαγή  Κάντε λοιπόν τη δύναμη μας απόφαση αλλαγής για όλες τις Ελληνίδες και όλους τους Έλληνες  Τι περιμένει από εμάς ο ελληνικός λαός  Μετά από χρόνια περιπετειών  Της δημοσιονομικής κρίσης, της πανδημίας της Στοχοποίησης  Πού ξεκίνησαν όλα αυτά  Κυρίως στην οικονομία με την χρεοκοπία που παρέδωσε ο κύριος Καραμανλής στον Γιώργο Παπανδρέου",economy,bankruptcy,greek politics,0.0,0.2,0.2,0.2,0.3,0.2,0.2,0.0,"[['andreas papandreou', 'person', '1.0'], ['pasok', 'organization', '1.0'], ['serres', 'location', '1.0'], ['tsipras', 'person', '1.0'], ['mitsotakis', 'person', '1.0'], ['greek', 'norp', '0.5'], ['targeting', 'gpe', '1.0'], ['karamanlis', 'person', '1.0'], ['george papandreou', 'person', '1.0']]","[['andreas papandreou', 'person', '0.7'], ['pasok', 'political party', '0.9'], ['serres', 'location', '0.8'], ['mr. tsipras', 'person', '0.5'], ['mr. mitsotakis', 'person', '0.5'], ['greek', 'country', '0.9'], ['george papandreou', 'person', '0.6'], ['targeting', 'organization', '0.4'], ['mr. karamanlis', 'person', '0.5']]"
2," What the Greek people expect from us.  Waiting once again for the truth.  A force of responsibility, a force of programmatic discourse, a force of realism that will call a spade a spade.  It will not hide behind responsibility. "," Τι περιμένει από εμάς ο ελληνικός λαός  Περιμένει για άλλη μια φορά την αλήθεια  Μια δύναμη ευθύνης, μια δύναμη προγραμματικού λόγου, μια δύναμη ρεαλισμό που θα πει τα πράγματα με το όνομά τους  Δεν θα κρυφτεί πίσω από ευθύνες",accountability,other,greek expectations,-0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,"[['greek', 'nationalities', '0.95']]","[['greek people', 'group of people', '0.90']]"
3, As in all critical times.  When PASOK took over a Greece.  The church of the Greeks was out.  The actual production capacity. , Όπως σε όλες τις κρίσιμες εποχές  Τότε που το ΠΑΣΟΚ παρέλαβε μια Ελλάδα  Η εκκλησία των Ελλήνων ήταν εκτός  Της πραγματικής δυνατότητας παραγωγής,other,other,greece,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"[['pasok', 'organization', '0.75'], ['greece', 'location', '1.0'], ['greeks', 'nationality', '1.0']]","[['pasok', 'organization', '0.9'], ['greece', 'country', '0.9'], ['the church of the greeks', 'group of people', '0.7']]"
4," Hundreds of thousands of Greeks in Germany and other countries fled in the years of the post-civil war state.  Thousands of Greek children were searching.  A new hope, a new hope to build their lives.  To build a family with dignity to move forward.  And PASOK came as a movement for change.  What PASOK changed. "," Εκατοντάδες χιλιάδες Έλληνες στη Γερμανία και σε άλλες χώρες έφυγαν τα χρόνια του μετεμφυλιακού κράτους  Χιλιάδες ελληνόπουλα έψαχναν  Μια νέα ελπίδα, μια νέα ελπίδα να οικοδομήσουν τις ζωές τους  Να χτίσουν μια οικογένεια με αξιοπρέπεια να προχωρήσουν μπροστά  Και ήρθε το ΠΑΣΟΚ ως κίνημα αλλαγής  Τι άλλαξε το ΠΑΣΟΚ",political parties,other,pasok,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,"[['greeks', 'person', '1.0'], ['germany', 'location', '1.0'], ['post-civil war state', 'event', '1.0'], ['greek', 'language', '1.0'], ['pasok', 'organization', '1.0']]","[['greeks', 'group of people', '1.0'], ['germany', 'location', '1.0'], ['pasok', 'political party', '1.0']]"
5," Built infrastructure a strong welfare state, education, health care.  And, of course, an economy within the European Union, resilient in the great national issues, always with credibility.  With great successes, such as the accession of Cyprus to the European Union with the Cyprus problem unresolved.  What our political opponents have achieved.  This is what I ask the Greek people to compare in these national elections.  What the New Democracy has achieved with SYRIZA.  New Democracy, decades in power did not put stone on stone. "," Έφτιαξε υποδομές ένα ισχυρό κοινωνικό κράτος, την παιδεία, την υγεία  Και βέβαια, μια οικονομία μέσα στην Ευρωπαϊκή Ένωση, ανθεκτική και στα μεγάλα εθνικά θέματα, πάντα με αξιοπιστία  Με μεγάλες επιτυχίες, όπως αυτή της ένταξης της Κύπρου στην Ευρωπαϊκή Ένωση με άλυτο το Κυπριακό  Τι πέτυχαν οι πολιτικοί μας αντίπαλοι  Αυτό ζητώ εγώ από τον ελληνικό λαό να συγκρίνει σε αυτές τις εθνικές εκλογές  Τι κατάφερε η νέα Δημοκρατία με τον ΣΥΡΙΖΑ  Νέα Δημοκρατία, δεκαετίες στην εξουσία δεν έβαλε πέτρα πάνω στην πέτρα",economy,other,political comparisons,-0.5,0.3,0.2,0.1,0.2,0.2,0.0,0.0,"[['cyprus', 'location', '0.7'], ['european union', 'organization', '0.9'], ['new democracy', 'organization', '0.8'], ['syriza', 'organization', '0.8'], ['greek', 'misc', '0.7']]",[]
6," Mr Mitsotakis now says that he wants to take on the deep state.  He himself is the deep state.  Every day in his mirror he sees the deep state of family rule, the patronage of thousands of appointments. "," Λέει τώρα ο κύριος Μητσοτάκης ότι θέλει λέει να τα βάλει με το βαθύ κράτος  Αυτός ο ίδιος είναι το βαθύ κράτος  Κάθε μέρα στον καθρέφτη του βλέπει το βαθύ κράτος της οικογενειοκρατίας, του πελατειασμό των χιλιάδων διορισμών",corruption,corruption,deep state,-0.8,0.95,1.0,0.7,0.8,0.8,0.0,0.2,"[['mitsotakis', 'person', '0.9']]","[['mitsotakis', 'person', '0.9']]"
7," Direct awards.  When they supported the major reforms of PASOK.  The New Democracy faction.  The Asep.  Clarity, strong independent authorities.  Oh.  What was this e-prescribing. "," Των απευθείας αναθέσεων  Πότε στήριξαν τις μεγάλες μεταρρυθμίσεις του ΠΑΣΟΚ  Η παράταξη Νέας Δημοκρατίας  Το Ασεπ  Τη διαύγεια, τις ισχυρές ανεξάρτητες αρχές  Ωωω  Τι ήταν αυτό την ηλεκτρονική συνταγογράφηση",other,other,government reforms,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,"[['pasok', 'org', '0.67'], ['new democracy', 'org', '0.67'], ['asep', 'org', '0.33'], ['e-prescribing', 'misc', '0.33']]","[['pasok', 'political party', '0.8'], ['new democracy', 'political party', '0.7'], ['asep', 'organization', '0.5'], ['e-prescribing', 'organization', '0.4']]"
8," What was it that they supported to play great reformers.  In all this was an obstacle.  Mr Tsipras is happy and says, why should I be responsible for all these things that are happening?  I says, I ruled shortly after the last 20 years Prime Minister PASOK had 3 years.  Four and a half years of Tsipras and all the rest of the new democracy. "," Τι ήταν αυτό που στήριξαν για να το παίζουν μεγάλοι μεταρρυθμιστές  Σε όλα αυτά ήταν εμπόδιο  Χαίρεται ο κύριος Τσίπρας και σου λέει, γιατί να έχω εγώ ευθύνη για όλα αυτά που συμβαίνουν  Εγώ λέει, κυβέρνησαν λίγο μετά τα τελευταία 20 χρόνια πρωθυπουργό το ΠΑΣΟΚ είχε 3 χρόνια  Τεσσεράμισι χρόνια ο Τσίπρας και όλα τα υπόλοιπα νέα δημοκρατία",economy,reforms,greek politics,0.0,0.0,0.0,0.2,0.5,0.1,0.0,0.0,"[['mr tsipras', 'person', '0.9'], ['pasok', 'organization', '0.7'], ['tsipras', 'person', '0.8'], ['new democracy', 'organization', '0.6']]","[['mr tsipras', 'person', '0.9'], ['prime minister pasok', 'organization', '0.7'], ['tsipras', 'group of people', '0.4'], ['new democracy', 'political party', '0.7.']]"
9," So how come he doesn't take their responsibilities and what are his responsibilities?  He did not say in 2014 seismic for red loans.  He wasn't saying, don't pay, because there will come a time when you will tear up the memoranda and your debts will come out noble and sustainable arrangements.  It is the same person who today sheds crocodile tears in front of people whose first home is at risk when he handed over the red loans to the crows of the funds in 2015 leaving only reality gallery.  Gallery, tax.  What Mr Tsipras did for farmers, for freelancers, the biggest tax raid of all times. "," Πώς λοιπόν δεν σηκώνει και αυτός τις δικές τους ευθύνες και ποιες είναι οι δικές του ευθύνες  Αυτός δεν έλεγε το 2014 σεισάχθεια για τα κόκκινα δάνεια  Αυτός δεν έλεγε, μην πληρώνετε, διότι θα έρθει μια εποχή που θα σκίσει τα μνημόνια και τα χρέη σας θα βγούνε ευγενείς και βιώσιμες ρυθμίσεις  Είναι το ίδιο πρόσωπο που σήμερα χύνει κροκοδείλια δάκρυα μπροστά σε ανθρώπους που κινδυνεύει η πρώτη τους κατοικία όταν αυτός παρέδωσε στα κοράκια των funds τα κόκκινα δάνεια το 2015 αφήνει μόνη πραγματικότητα gallery  Gallery, φορολογικά  Τι έκανε για τους αγρότες, για τους ελεύθερους επαγγελματίες, τη μεγαλύτερη φοροεπιδρομή όλων των εποχών έκανε ο κύριος Τσίπρας",debt,debt regulations,greek loans/taxes,-0.8,0.6,0.0,0.6,0.7,0.5,0.0,0.0,"[['tsipras', 'person', '3'], ['2014 seismic', 'event', '1'], ['red loans', 'entity', '1'], ['memoranda', 'entity', '1'], ['debts', 'entity', '1'], ['funds', 'entity', '1'], ['reality gallery', 'entity', '1'], ['tax', 'entity', '1'], ['farmers', 'entity', '1'], ['freelancers', 'entity', '1'], ['tax raid', 'event', '1']]","[['mr tsipras', 'person', '2', '2014', 'date', '1', '2015', 'date', '1', 'red loans', 'group of people', '1', 'memoranda', 'organization', '1', 'funds', 'organization', '1', 'gallery', 'location', '1', 'tax', 'organization', '1', 'farmers', 'group of people', '1', 'freelancers', 'group of people', '1', 'biggest tax raid of all times', 'organization', '1].']]"
10," I say this because they get annoyed when we talk about coalition governments, without these prime ministers we do it because we want to build a relationship of trust with the Greek people, telling them the truth, we say what we will do when we get this mandate, what we will do.  Mr Mitsotakis says, I don't care about the first election, vote for this, it's been done before, vote for me, but he'll deliver the mandate then because the Greek people didn't say so.  What to see. "," Τα λέω αυτά, διότι ενοχλούνται όταν μιλάμε για κυβερνήσεις συνεργασίας, χωρίς αυτούς πρωθυπουργούς το κάνουμε γιατί θέλουμε να οικοδομήσουμε μια σχέση εμπιστοσύνης με τον ελληνικό λαό, λέγοντάς του την αλήθεια, εμείς λέμε τι θα κάνουμε όταν θα πάρουμε την εντολή αυτή, Τι θα κάνουμε  Ο κύριος Μητσοτάκης λέει, δεν με ενδιαφέρουν οι πρώτες εκλογές, Ψηφίστε αυτό, έχει ξαναγίνει, ψηφίστε με αλλά θα την παραδώσει την εντολή τότε γιατί δεν το είπε ο ελληνικός λαός  Τι να δω",elections,coalition,greek elections,0.0,0.2,0.1,0.1,0.2,0.1,0.1,0.0,"[['mitsotakis', 'person', '0.9'], ['greek', 'nationalities', '0.6']]","[['mr mitsotakis', 'person', '0.8'], ['greek people', 'group of people', '0.8'], ['greek', 'country', '0.7'], ['coalition governments', 'organization', '0.6'], ['prime ministers', 'group of people', '0.5']]"
