id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Thank you very much for the welcome.  It seems, it is destined from this stadium, from this city, from Kalamata, to take the first step towards the great victory, the first step towards the elections of May 21, which will bring political change and justice.  This is the message we are sending here today from Kalamata.  The message of determination and the message of hope.  The message that the progressive government that the country needs will become a reality in a few weeks from today.  With a clean front, with a clean political record, with clean proposals, with clean hands, we claim the vote of the Greek people to change the country. ","Σας ευχαριστώ θερμά για την υποδοχή  Φαίνεται, είναι γραφτό απ’ αυτό εδώ το γήπεδο, απ’ αυτήν εδώ την πόλη, από την Καλαμάτα, να κάνουμε το πρώτο βήμα για τη μεγάλη νίκη, το πρώτο βήμα για τις εκλογές της 21ης του Μάη, που θα φέρουν την πολιτική αλλαγή και τη δικαιοσύνη  Αυτό είναι το μήνυμα που στέλνουμε σήμερα εδώ από την Καλαμάτα  Το μήνυμα της αποφασιστικότητας και το μήνυμα της ελπίδας  Το μήνυμα ότι η προοδευτική κυβέρνηση που έχει ανάγκη ο τόπος, θα γίνει πράξη σε λίγες εβδομάδες από σήμερα  Με καθαρό μέτωπο, με καθαρό πολιτικό μητρώο, με καθαρές προτάσεις, με καθαρά χέρια, διεκδικούμε την ψήφο του ελληνικού λαού για να αλλάξουμε τη χώρα",elections,election spending,political elections,0.8,0.2,0.0,0.0,0.0,0.2,0.0,0.0,"[['kalamata', 'location', '1.0'], ['may 21', 'date', '1.0'], ['greek', 'nationality', '1.0']]","[['kalamata', 'location', '1.0'], ['may 21', 'date', '1.0'], ['greek', 'country', '1.0']]"
2," To bring justice back to this land.  And I know, I see it in your faces today, that we will succeed.  Because we are more ready, more mature, more experienced, but also more determined than ever to do so. "," Για να ξαναφέρουμε σ’ αυτό τον τόπο τη δικαιοσύνη  Και το ξέρω, το βλέπω σήμερα στα πρόσωπά σας, ότι θα  πετύχουμε  Γιατί είμαστε πιο έτοιμοι, πιο ώριμοι, πιο έμπειροι, αλλά και πιο αποφασισμένοι από ποτέ γι’ αυτό",other,other,justice,0.8,0.1,0.0,0.0,0.0,0.2,0.0,0.0,[],[]
3, We learned from the battles we fought.  From the difficult roads and the traps we crossed.  From the victories we achieved.  Even the things we wanted to do but failed to do. , Μάθαμε από τις μάχες που δώσαμε  Από τους δύσκολους δρόμους και τις παγίδες που διαβήκαμε  Από τις νίκες που πετύχαμε  Ακόμα κι από όσα θέλαμε αλλά δεν καταφέραμε να κάνουμε πράξη,other,other,learning,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
4," But we will win this difficult battle, the battle for change with justice in our country.   And we will win it together with the people, without their strength, you know, no project can succeed. Because, I say it many times, no matter what city in the country I find myself in, change is all of you, change is each of us.  Change is the worker, the unemployed, the young, the small and medium-sized, the farmer, the pensioner, who is demanding a better tomorrow.  Change is the people who produce and create with their hands, their minds, their entrepreneurship, their sensitivity.   The change is all those who with responsibility and determination will go to the polls on May 21, to say the big NO to the regime that has dynastized Greece for the last four years and to say the big YES to SYRIZA Progressive Alliance, for a progressive government that will change the country. "," Θα την κερδίσουμε όμως αυτή τη δύσκολη μάχη, τη μάχη για την αλλαγή  με δικαιοσύνη στον τόπο μας   Και θα την κερδίσουμε μαζί με το λαό, που χωρίς τη δική του δύναμη να ξέρετε, κανένα σχέδιο δεν μπορεί να ευδοκιμήσει Γιατί, το λέω πολλές φορές, σε όποια πόλη της χώρας και αν βρεθώ, η αλλαγή είσαστε όλοι εσείς, η αλλαγή είναι ο καθένας από μας  Η αλλαγή είναι ο εργαζόμενος, είναι ο άνεργος, είναι ο νέος, είναι ο μικρομεσαίος, είναι ο αγρότης, είναι ο συνταξιούχους, που διεκδικεί ένα καλύτερο αύριο  Η αλλαγή είναι οι άνθρωποι που παράγουν και δημιουργούν με τα χέρια, το μυαλό, την επιχειρηματικότητα, την ευαισθησία   Η αλλαγή είναι όλοι εκείνοι που με ευθύνη και αποφασιστικότητα θα προσέλθουν στις κάλπες στις 21 του Μάη, για να πουν το μεγάλο ΟΧΙ στο καθεστώς που δυναστεύει την Ελλάδα τα τελευταία τέσσερα χρόνια και να πουν  το μεγάλο ΝΑΙ στο ΣΥΡΙΖΑ Προοδευτική Συμμαχία, για μια προοδευτική κυβέρνηση που θ’ αλλάξει τον τόπο",elections,election spending,political change,0.75,0.2,0.2,0.1,0.0,0.5,0.1,0.0,"[['greece', 'location', '0.5'], ['syriza progressive alliance', 'organization', '1.0']]","[['syriza progressive alliance', 'organization', '1.0'], ['greece', 'country', '1.0'], ['may 21', 'date', '1.0']]"
5,"But in this crucial electoral battle we all come with the weight of grief and anger.   When young people take the train and instead of ending up in the arms of their families they end up in death, then it is time for us all to say a phrase, no matter what we believe, no matter what party we voted for, no matter what ideas we are moved by: to all of us a phrase comes: That's it.  No more. ","Σ’ αυτή τη κρίσιμη, όμως, εκλογική μάχη προσερχόμαστε όλοι με το βάρος του πένθους και της οργής   Όταν νέοι άνθρωποι παίρνουν το τρένο και αντί να καταλήξουν στην αγκαλιά των δικών τους καταλήγουν στο θάνατο, τότε έρχεται η ώρα να πούμε όλοι να πούμε μια φράση, ανεξάρτητα από το τι πιστεύουμε, ποιο κόμμα ψηφίσαμε, ανεξάρτητα από το ποιες ιδέες μας συγκινούν: Σε όλους έρχεται μια φράση: Ως εδώ  Δεν πάει άλλο",other,other,election,-0.5,0.5,0.0,0.2,0.0,0.2,0.0,0.0,[],[]
6," All the ugliness of the state, which was advertised as an executive, supposedly, met in the valley of Tempe with dramatic consequences.   The dismantling of the public sector and every structure for the protection of people, the insistence on blurred agreements for the speculation of big interests, partisanship, corruption, bribery, bribe-taking, the indifference not only to the everyday life of ordinary people, but also to life itself. This unspeakable tragedy is not a matter for electoral exploitation.  And that's why you will have seen that we, unlike what was done at that time in other times when we had dramatic events again, did not attempt to make a toxic discourse on the death of 57 people.  We are different we are not the same, we are of another quality we are.  This is not a matter for electoral exploitation. "," Όλες  οι ασχήμιες του κράτους που διαφημίστηκε ως επιτελικό, δήθεν, συναντήθηκαν στην κοιλάδα των Τεμπών με δραματικές συνέπειες   Η διάλυση του δημόσιου τομέα και κάθε  δομής προστασίας των ανθρώπων, η  εμμονή στις θολές συμφωνίες για την κερδοσκοπία των μεγάλων συμφερόντων, ο  κομματισμός, ο χρηματισμός, το  ρουσφέτι, το βόλεμα, η  αδιαφορία τελικά όχι μόνο για την καθημερινότητα των απλών ανθρώπων, αλλά και για την ίδια τη ζωή Δεν είναι η ανείπωτη αυτή τραγωδία θέμα για προεκλογική εκμετάλλευση  Και γι' αυτό θα είδατε ότι εμείς, σε αντίθεση με το τι έκανε εκείνη την περίοδο σε άλλες εποχές που είχαμε πάλι δραματικά γεγονότα, δεν επιχειρήσαμε να ορθώσουμε τοξικό λόγο πάνω στο θάνατο 57 ανθρώπων  Είμαστε διαφορετικοί εμείς, δεν είμαστε ίδιοι, είμαστε από άλλη ποιότητα εμείς  Δεν είναι θέμα για προεκλογική εκμετάλλευση",corruption,corruption,greek tragedy,-0.8,0.8,0.2,0.2,0.2,0.7,0.0,0.1,"[['tempe', 'location', '1.0']]","[['tempe', 'location', '1.0']]"
7," But it is a wound, a wound open.  It's a wound for the 57 families who lost their own people.  It is a plague for millions of Greeks. "," Είναι μια πληγή όμως, μια πληγή ανοιχτή  Είναι μια πληγή για τις 57 οικογένειες που έχασαν τους δικούς τους ανθρώπους  Είναι μια πληγή για τα εκατομμύρια των Ελλήνων",health,natural disasters,grief,-0.9,0.67,0.0,0.2,0.0,0.2,0.0,0.0,"[['57', 'cardinal', '1.0'], ['greeks', 'norp', '1.0']]","[['57 families', 'group of people', '0.95'], ['greeks', 'group of people', '0.95']]"
8, For all of us.  And the debt of respect to those who have unjustly lost their lives now translates into a debt for the truth.  Because respect for practice means above all respect for truth.  No inexpensive and hypocritical apologies. ," Για όλους μας  Και το χρέος του σεβασμού απέναντι σε όσους άδικα έχασαν τη ζωή τους μεταφράζεται τώρα, σε χρέος για την αλήθεια  Γιατί σεβασμός στην πράξη σημαίνει πριν απ’ όλα σεβασμός στην αλήθεια  Όχι ανέξοδες και υποκριτικές συγνώμες",accountability,other,truth,-1.0,0.1,0.0,0.1,0.2,0.2,0.0,0.0,[],[]
9,"Because one month after this unspeakable tragedy, dramatic questions still hover over Greek society: why the telecommunications centre in Larissa, which was destroyed by a fire in July 2019, remains almost 4 years old.  If only this had worked, the tragedy would have been avoided.  Why they broke the law to appoint the fatal stationmaster.  Why did the Minister, with a photographic ministerial decision, come afterwards, five days after the appointment, to make him permanent?  Why were unqualified and untrained station masters placed in critical positions.  Because in the summer of '19 there were 1. 200 permanent employees in OSE and especially in Larissa 25 stationmasters and today there are only 750 employees in OSE and only 10 stationmasters in Larissa.  Because the GSM-R system, which had been fully delivered, which enables telecommunications between trains and stations, had been fully delivered and staff fully trained to use it by 2019, 4 years later it is still not operational. ","Διότι ένα μήνα μετά την ανείπωτη αυτή τραγωδία, αιωρούνται ακόμη δραματικά ερωτηματικά πάνω από την ελληνική κοινωνία: Γιατί το κέντρο τηλεδιοίκησης στη Λάρισα που καταστράφηκε μετά από μια πυρκαγιά μέσα Ιούλη του 2019, 4 χρόνια σχεδόν παραμένει γιαπί  Αν και μόνο αυτό λειτουργούσε θα είχε αποφευχθεί η τραγωδία  Γιατί παραβίασαν το νόμο για να διορίσουν το μοιραίο σταθμάρχη  Γιατί ο Υπουργός με φωτογραφική υπουργική απόφαση ήρθε εκ των υστέρων, πέντε μέρες μετά τον διορισμό, να τον μονιμοποιήσει  Γιατί τοποθετήθηκαν σε κρίσιμες θέσεις ακατάλληλοι και ανεκπαίδευτοι σταθμάρχες  Γιατί το καλοκαίρι του ‘19 υπήρχαν 1 200 μόνιμοι εργαζόμενοι στον ΟΣΕ και ειδικά στη Λάρισα 25 σταθμάρχες και σήμερα υπάρχουν μόλις 750 εργαζόμενοι στον ΟΣΕ και 10 μόνο σταθμάρχες στη Λάρισα  Γιατί το σύστημα GSM-R, που είχε πλήρως παραδοθεί, που δίνει τη δυνατότητα τηλεπικοινωνίας ανάμεσα στις αμαξοστοιχίες και στους σταθμούς, είχε πλήρως παραδοθεί και το προσωπικό πλήρως εκπαιδευτεί για τη χρήση του από το 2019, 4 χρόνια μετά ακόμα δεν έχει τεθεί σε λειτουργία",infrastructure,other,telecommunications center,-0.9,0.6,0.0,0.2,0.0,0.5,0.0,0.0,"[['greek society', 'location', 'probability'], ['larissa', 'location', 'probability'], ['july 2019', 'date', 'probability'], ['4 years old', 'date', 'probability'], ['minister', 'person', 'probability'], ['gsm-r', 'organization', 'probability'], ['ose', 'organization', 'probability']]","[['larissa', 'location', '1.0'], ['greek society', 'group of people', '1.0'], ['minister', 'organization', '1.0'], ['ose', 'organization', '1.0'], ['political party', 'not present', '0'], ['country', 'not present', '0'], ['date', 'not present', '0']]"
10," Why did the OSE-TRAINOSE contract, which initially provided for the obligation for 600 million investments by the Italian company and the obligation of the State to proceed with the infrastructure upgrading and safety projects, finally came to the Parliament and was passed without providing either the 600 million or the implementation of the safety projects?  Because finally, the next day of the accident and while the Justice Department had already been involved, the Prime Minister rushed to appoint a three-member committee of experts for the accident.  Where did you hear that, that the auditees themselves appoint their own auditors. "," Γιατί η Σύμβαση ΟΣΕ-ΤΡΑΙΝΟΣΕ που προέβλεπε αρχικά την υποχρέωση για 600 εκατομμύρια επενδύσεις από την ιταλική εταιρία και την υποχρέωση του Δημοσίου να προχωρήσει τα έργα αναβάθμισης και ασφάλειας των υποδομών, ήρθε τελικά στη Βουλή και ψηφίστηκε χωρίς να προβλέπει ούτε τα 600 εκατομμύρια ούτε την υλοποίηση των έργων για την ασφάλεια  Γιατί τέλος, την επόμενη μέρα του δυστυχήματος και ενώ είχε ήδη επιληφθεί η Δικαιοσύνη, έσπευσε ο πρωθυπουργός να διορίσει τριμελή επιτροπή πραγματογνωμόνων για το δυστύχημα  Που ακούστηκε αυτό,  να διορίζουν οι ίδιοι οι ελεγχόμενοι τους ελεγκτές τους",corruption,other,ose-trainose contract,-0.5,0.25,0.0,0.2,0.3,0.2,0.0,0.0,"[['ose-trainose', 'organization', '1.0'], ['italian', 'nationality', '1.0'], ['state', 'organization', '0.9'], ['parliament', 'organization', '1.0'], ['justice department', 'organization', '1.0'], ['prime minister', 'title', '1.0']]","[['ose-trainose', 'organization', '1.0'], ['italian company', 'organization', '1.0'], ['state', 'organization', '1.0'], ['parliament', 'organization', '1.0'], ['justice department', 'organization', '1.0'], ['prime minister', 'person', '1.0'], ['committee of experts', 'group of people', '1.0']]"
11," These are the big questions that remain unanswered today, one month after this tragic accident. And how do the responsible government and the responsible Prime Minister answer these questions?   They answer without answering.  They respond in terms of hypocrisy, communication and lies. "," Αυτά είναι τα μεγάλα ερωτήματα που μένουν αναπάντητα σήμερα, ένα μήνα μετά από το τραγικό αυτό δυστύχημα Και πώς απαντούν η υπεύθυνη κυβέρνηση και ο υπεύθυνος Πρωθυπουργός σ’ αυτά τα ερωτήματα   Απαντούν χωρίς να  απαντήσουν  Απαντούν με όρους υποκρισίας, επικοινωνίας και ψέματος",accountability,other,lack of accountability,-0.9,1.0,0.0,0.7,0.3,0.8,0.0,0.1,"[['none', 'there are no named entities mentioned in the text.']]","[['government', 'organization', '0.6'], ['prime minister', 'person', '0.7']]"
12, In terms of covering up their responsibilities.  The first day it was the stationmaster's fault.  The second day was the fault of the Regulatory Authority.  The third day was the fault of the previous government.  Who else. , Με όρους συγκάλυψης των ευθυνών τους  Την πρώτη μέρα έφταιγε ο σταθμάρχης  Τη δεύτερη μέρα έφταιγε η  Ρυθμιστική Αρχή  Την τρίτη μέρα έφταιγε η προηγούμενη κυβέρνηση  Ποιος άλλος,accountability,lack of accountability,responsibility shifting,-0.7,1.0,0.0,0.4,0.2,1.0,0.0,0.1,[],"[['stationmaster', 'person', '0.6'], ['regulatory authority', 'organization', '0.6'], ['previous government', 'political party', '0.6']]"
